Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      8.56     0.00     4381     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      8.56     0.00     4381     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      8.56     0.00     4381     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      8.56     0.00     4379     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      8.56     0.00     4374     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      8.56     0.00     4374     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      8.56     0.00     4360     0.00     0.00  operator new(unsigned long, void*)
  0.00      8.56     0.00     4352     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      8.56     0.00     3082     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      8.56     0.00     3079     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      8.56     0.00     3079     0.00     0.00  std::allocator<int>::allocator()
  0.00      8.56     0.00     3077     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&)
  0.00      8.56     0.00     3072     0.00     0.00  std::initializer_list<int>::begin() const
  0.00      8.56     0.00     3072     0.00     0.00  int const* std::__miter_base<int const*>(int const*)
  0.00      8.56     0.00     3072     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  0.00      8.56     0.00     3000     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.00      8.56     0.00     2884     0.00     0.00  stbi__zhuffman_decode_slowpath(stbi__zbuf*, stbi__zhuffman*)
  0.00      8.56     0.00     2855     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      8.56     0.00     2845     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      8.56     0.00     2845     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      8.56     0.00     2838     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      8.56     0.00     2838     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      8.56     0.00     2838     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      8.56     0.00     2838     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      8.56     0.00     2838     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      8.56     0.00     2838     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      8.56     0.00     2838     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      8.56     0.00     2838     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      8.56     0.00     2838     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      8.56     0.00     2838     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      8.56     0.00     2827     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00      8.56     0.00     2816     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++()
  0.00      8.56     0.00     2816     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const
  0.00      8.56     0.00     2816     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      8.56     0.00     2816     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      8.56     0.00     2560     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      8.56     0.00     2560     0.00     0.00  std::initializer_list<double>::begin() const
  0.00      8.56     0.00     2560     0.00     0.00  std::allocator<double>::~allocator()
  0.00      8.56     0.00     2560     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      8.56     0.00     2560     0.00     0.00  double const* std::__miter_base<double const*>(double const*)
  0.00      8.56     0.00     2560     0.00     0.00  double const* std::__niter_base<double const*>(double const*)
  0.00      8.56     0.00     1541     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00      8.56     0.00     1541     0.00     0.00  std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>)
  0.00      8.56     0.00     1541     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::allocator<int> const&)
  0.00      8.56     0.00     1541     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> >&&)
  0.00      8.56     0.00     1541     0.00     0.00  void std::__alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&)
  0.00      8.56     0.00     1541     0.00     0.00  void std::__do_alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      8.56     0.00     1541     0.00     0.00  std::remove_reference<std::allocator<int>&>::type&& std::move<std::allocator<int>&>(std::allocator<int>&)
  0.00      8.56     0.00     1541     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00      8.56     0.00     1536     0.00     0.00  std::initializer_list<int>::end() const
  0.00      8.56     0.00     1536     0.00     0.00  std::initializer_list<int>::size() const
  0.00      8.56     0.00     1536     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      8.56     0.00     1536     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      8.56     0.00     1536     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int const*, int*>(int const*, int const*, int*)
  0.00      8.56     0.00     1536     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag)
  0.00      8.56     0.00     1536     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      8.56     0.00     1536     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  0.00      8.56     0.00     1536     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00      8.56     0.00     1536     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      8.56     0.00     1536     0.00     0.00  int* std::uninitialized_copy<int const*, int*>(int const*, int const*, int*)
  0.00      8.56     0.00     1536     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00      8.56     0.00     1536     0.00     0.00  int* std::__uninitialized_copy_a<int const*, int*, int>(int const*, int const*, int*, std::allocator<int>&)
  0.00      8.56     0.00     1536     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00      8.56     0.00     1536     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00      8.56     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      8.56     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      8.56     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      8.56     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      8.56     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      8.56     0.00     1280     0.00     0.00  std::initializer_list<double>::end() const
  0.00      8.56     0.00     1280     0.00     0.00  std::initializer_list<double>::size() const
  0.00      8.56     0.00     1280     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      8.56     0.00     1280     0.00     0.00  std::allocator<double>::allocator()
