Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.67     0.00     2827     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00     15.67     0.00     2816     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++()
  0.00     15.67     0.00     2816     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const
  0.00     15.67     0.00     2816     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00     15.67     0.00     2816     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00     15.67     0.00     2560     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     15.67     0.00     2560     0.00     0.00  std::initializer_list<double>::begin() const
  0.00     15.67     0.00     2560     0.00     0.00  std::allocator<double>::~allocator()
  0.00     15.67     0.00     2560     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     15.67     0.00     2560     0.00     0.00  double const* std::__miter_base<double const*>(double const*)
  0.00     15.67     0.00     2560     0.00     0.00  double const* std::__niter_base<double const*>(double const*)
  0.00     15.67     0.00     1541     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00     15.67     0.00     1541     0.00     0.00  std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>)
  0.00     15.67     0.00     1541     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::allocator<int> const&)
  0.00     15.67     0.00     1541     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> >&&)
  0.00     15.67     0.00     1541     0.00     0.00  void std::__alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&)
  0.00     15.67     0.00     1541     0.00     0.00  void std::__do_alloc_on_move<std::allocator<int> >(std::allocator<int>&, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00     15.67     0.00     1541     0.00     0.00  std::remove_reference<std::allocator<int>&>::type&& std::move<std::allocator<int>&>(std::allocator<int>&)
  0.00     15.67     0.00     1541     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00     15.67     0.00     1536     0.00     0.00  std::initializer_list<int>::end() const
  0.00     15.67     0.00     1536     0.00     0.00  std::initializer_list<int>::size() const
  0.00     15.67     0.00     1536     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     15.67     0.00     1536     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     15.67     0.00     1536     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<int const*, int*>(int const*, int const*, int*)
  0.00     15.67     0.00     1536     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag)
  0.00     15.67     0.00     1536     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     15.67     0.00     1536     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  0.00     15.67     0.00     1536     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00     15.67     0.00     1536     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00     15.67     0.00     1536     0.00     0.00  int* std::uninitialized_copy<int const*, int*>(int const*, int const*, int*)
  0.00     15.67     0.00     1536     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00     15.67     0.00     1536     0.00     0.00  int* std::__uninitialized_copy_a<int const*, int*, int>(int const*, int const*, int*, std::allocator<int>&)
  0.00     15.67     0.00     1536     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00     15.67     0.00     1536     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_propagate_on_copy_assign()
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     15.67     0.00     1280     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00     15.67     0.00     1280     0.00     0.00  std::initializer_list<double>::end() const
  0.00     15.67     0.00     1280     0.00     0.00  std::initializer_list<double>::size() const
  0.00     15.67     0.00     1280     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00     15.67     0.00     1280     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00     15.67     0.00     1280     0.00     0.00  std::allocator<double>::allocator()
  0.00     15.67     0.00     1280     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     15.67     0.00     1280     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     15.67     0.00     1280     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     15.67     0.00     1280     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     15.67     0.00     1280     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00     15.67     0.00     1280     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     15.67     0.00     1280     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     15.67     0.00     1280     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&)
  0.00     15.67     0.00     1280     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     15.67     0.00     1280     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00     15.67     0.00     1280     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00     15.67     0.00     1280     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<double const*, double*>(double const*, double const*, double*)
  0.00     15.67     0.00     1280     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  0.00     15.67     0.00     1280     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::initializer_list<double>, std::allocator<double> const&)
  0.00     15.67     0.00     1280     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     15.67     0.00     1280     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00     15.67     0.00     1280     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00     15.67     0.00     1280     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00     15.67     0.00     1280     0.00     0.00  std::iterator_traits<double const*>::difference_type std::__distance<double const*>(double const*, double const*, std::random_access_iterator_tag)
  0.00     15.67     0.00     1280     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00     15.67     0.00     1280     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
