Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00    1536/1254360     void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*) [183]
                0.00    0.00    2816/1254360     void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [162]
                0.00    0.00 1250000/1254360     void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&) [93]
[91]     0.0    0.00    0.00 1254360         operator new(unsigned long, void*) [91]
-----------------------------------------------
                0.00    0.00       5/1252853     std::vector<int, std::allocator<int> >::reserve(unsigned long) [338]
                0.00    0.00    2838/1252853     std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
                0.00    0.00 1250010/1252853     find_distance(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >) [2]
[92]     0.0    0.00    0.00 1252853         std::vector<int, std::allocator<int> >::size() const [92]
-----------------------------------------------
                0.00    0.00 1250000/1250000     void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [94]
[93]     0.0    0.00    0.00 1250000         void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&) [93]
                0.00    0.00 1250000/2500000     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [89]
                0.00    0.00 1250000/1254360     operator new(unsigned long, void*) [91]
-----------------------------------------------
                0.00    0.00 1250000/1250000     std::vector<int, std::allocator<int> >::push_back(int const&) [95]
[94]     0.0    0.00    0.00 1250000         void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [94]
                0.00    0.00 1250000/2500000     int const& std::forward<int const&>(std::remove_reference<int const&>::type&) [89]
                0.00    0.00 1250000/1250000     void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&) [93]
-----------------------------------------------
                0.00    0.00 1250000/1250000     find_distance(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >) [2]
[95]     0.0    0.00    0.00 1250000         std::vector<int, std::allocator<int> >::push_back(int const&) [95]
                0.00    0.00 1250000/1250000     void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&) [94]
-----------------------------------------------
                0.00    0.00 1046997/1046997     stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*) [21]
[96]     0.0    0.00    0.00 1046997         stbiw__paeth(int, int, int) [96]
-----------------------------------------------
                0.00    0.00     256/753192      select_random(std::vector<int, std::allocator<int> >, int, int) [22]
                0.00    0.00    2936/753192      tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >) [5]
                0.00    0.00  750000/753192      modify_and_print(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<unsigned char, std::allocator<unsigned char> >, std::vector<int, std::allocator<int> >) [9]
[97]     0.0    0.00    0.00  753192         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [97]
-----------------------------------------------
                0.00    0.00  421345/421345      stbi_zlib_compress [12]
[98]     0.0    0.00    0.00  421345         stbiw__zlib_flushf(unsigned char*, unsigned int*, int*) [98]
                0.00    0.00      16/42618       stbiw__sbgrowf(void**, int, int) [105]
-----------------------------------------------
                0.00    0.00  316225/316225      stbi_zlib_compress [12]
[99]     0.0    0.00    0.00  316225         stbiw__zhash(unsigned char*) [99]
-----------------------------------------------
                0.00    0.00  303359/303359      stbi_zlib_compress [12]
[100]    0.0    0.00    0.00  303359         stbiw__zlib_bitrev(int, int) [100]
-----------------------------------------------
                0.00    0.00       1/167581      stbi__parse_zlib_header(stbi__zbuf*) [414]
                0.00    0.00   51762/167581      stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*) [102]
                0.00    0.00  115818/167581      stbi__zget8(stbi__zbuf*) [103]
[101]    0.0    0.00    0.00  167581         stbi__zeof(stbi__zbuf*) [101]
-----------------------------------------------
                0.00    0.00    3355/124937      stbi__compute_huffman_codes(stbi__zbuf*) [252]
                0.00    0.00  121582/124937      stbi__parse_huffman_block(stbi__zbuf*) [251]
[102]    0.0    0.00    0.00  124937         stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*) [102]
                0.00    0.00   51762/167581      stbi__zeof(stbi__zbuf*) [101]
                0.00    0.00   51762/51979       stbi__fill_bits(stbi__zbuf*) [104]
                0.00    0.00    2884/2884        stbi__zhuffman_decode_slowpath(stbi__zbuf*, stbi__zhuffman*) [146]
-----------------------------------------------
                0.00    0.00       2/115818      stbi__parse_zlib_header(stbi__zbuf*) [414]
                0.00    0.00  115816/115818      stbi__fill_bits(stbi__zbuf*) [104]
[103]    0.0    0.00    0.00  115818         stbi__zget8(stbi__zbuf*) [103]
                0.00    0.00  115818/167581      stbi__zeof(stbi__zbuf*) [101]
-----------------------------------------------
                0.00    0.00     217/51979       stbi__zreceive(stbi__zbuf*, int) [106]
                0.00    0.00   51762/51979       stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*) [102]
[104]    0.0    0.00    0.00   51979         stbi__fill_bits(stbi__zbuf*) [104]
                0.00    0.00  115816/115818      stbi__zget8(stbi__zbuf*) [103]
-----------------------------------------------
                0.00    0.00      16/42618       stbiw__zlib_flushf(unsigned char*, unsigned int*, int*) [98]
                0.00    0.00   42602/42618       stbi_zlib_compress [12]
[105]    0.0    0.00    0.00   42618         stbiw__sbgrowf(void**, int, int) [105]
-----------------------------------------------
                0.00    0.00      42/39596       stbi__parse_zlib(stbi__zbuf*, int) [406]
                0.00    0.00     686/39596       stbi__compute_huffman_codes(stbi__zbuf*) [252]
                0.00    0.00   38868/39596       stbi__parse_huffman_block(stbi__zbuf*) [251]
[106]    0.0    0.00    0.00   39596         stbi__zreceive(stbi__zbuf*, int) [106]
                0.00    0.00     217/51979       stbi__fill_bits(stbi__zbuf*) [104]
-----------------------------------------------
                0.00    0.00   27738/27738       std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&) [113]
[107]    0.0    0.00    0.00   27738         std::remove_reference<int*&>::type&& std::move<int*&>(int*&) [107]
-----------------------------------------------
                0.00    0.00       1/14926       std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long) [460]
                0.00    0.00       1/14926       std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&) [459]
                0.00    0.00       5/14926       std::vector<int, std::allocator<int> >::reserve(unsigned long) [338]
                0.00    0.00       5/14926       int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<std::move_iterator<int*> >(unsigned long, std::move_iterator<int*>, std::move_iterator<int*>) [337]
                0.00    0.00    1536/14926       void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag) [182]
                0.00    0.00    2838/14926       std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
                0.00    0.00    3082/14926       std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>) [23]
                0.00    0.00    7458/14926       std::vector<int, std::allocator<int> >::~vector() [14]
[108]    0.0    0.00    0.00   14926         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [108]
-----------------------------------------------
                0.00    0.00   13375/13375       std::allocator<int>::~allocator() [110]
[109]    0.0    0.00    0.00   13375         __gnu_cxx::new_allocator<int>::~new_allocator() [109]
-----------------------------------------------
                0.00    0.00       2/13375       main [1]
                0.00    0.00     256/13375       select_random(std::vector<int, std::allocator<int> >, int, int) [22]
                0.00    0.00    1280/13375       tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >) [5]
                0.00    0.00    1541/13375       std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>) [23]
                0.00    0.00    2838/13375       std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
                0.00    0.00    7458/13375       std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [119]
[110]    0.0    0.00    0.00   13375         std::allocator<int>::~allocator() [110]
                0.00    0.00   13375/13375       __gnu_cxx::new_allocator<int>::~new_allocator() [109]
-----------------------------------------------
                0.00    0.00   10296/10296       std::allocator<int>::allocator(std::allocator<int> const&) [112]
[111]    0.0    0.00    0.00   10296         __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&) [111]
-----------------------------------------------
                0.00    0.00    1541/10296       std::_Vector_base<int, std::allocator<int> >::get_allocator() const [170]
                0.00    0.00    2838/10296       std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&) [152]
                0.00    0.00    5917/10296       std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [121]
[112]    0.0    0.00    0.00   10296         std::allocator<int>::allocator(std::allocator<int> const&) [112]
                0.00    0.00   10296/10296       __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&) [111]
-----------------------------------------------
                0.00    0.00    9246/9246        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&) [139]
[113]    0.0    0.00    0.00    9246         std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&) [113]
                0.00    0.00   27738/27738       std::remove_reference<int*&>::type&& std::move<int*&>(int*&) [107]
-----------------------------------------------
                0.00    0.00    1536/8704        std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long) [318]
                0.00    0.00    2816/8704        std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*) [278]
                0.00    0.00    4352/8704        void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*) [16]
[114]    0.0    0.00    0.00    8704         std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [114]
-----------------------------------------------
                0.00    0.00    7463/7463        void std::_Destroy<int*>(int*, int*) [117]
[115]    0.0    0.00    0.00    7463         void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) [115]
-----------------------------------------------
                0.00    0.00       5/7463        std::vector<int, std::allocator<int> >::reserve(unsigned long) [338]
                0.00    0.00    7458/7463        std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [120]
[116]    0.0    0.00    0.00    7463         std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [116]
                0.00    0.00    4381/4381        std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long) [135]
-----------------------------------------------
                0.00    0.00    7463/7463        void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) [118]
[117]    0.0    0.00    0.00    7463         void std::_Destroy<int*>(int*, int*) [117]
                0.00    0.00    7463/7463        void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) [115]
-----------------------------------------------
                0.00    0.00       5/7463        std::vector<int, std::allocator<int> >::reserve(unsigned long) [338]
                0.00    0.00    7458/7463        std::vector<int, std::allocator<int> >::~vector() [14]
[118]    0.0    0.00    0.00    7463         void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) [118]
                0.00    0.00    7463/7463        void std::_Destroy<int*>(int*, int*) [117]
-----------------------------------------------
                0.00    0.00    7458/7458        std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [120]
[119]    0.0    0.00    0.00    7458         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [119]
                0.00    0.00    7458/13375       std::allocator<int>::~allocator() [110]
-----------------------------------------------
                0.00    0.00    7458/7458        std::vector<int, std::allocator<int> >::~vector() [14]
[120]    0.0    0.00    0.00    7458         std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [120]
                0.00    0.00    7458/7463        std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [116]
                0.00    0.00    7458/7458        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() [119]
-----------------------------------------------
                0.00    0.00    2840/5917        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [148]
                0.00    0.00    3077/5917        std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&) [142]
[121]    0.0    0.00    0.00    5917         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [121]
                0.00    0.00    5917/10296       std::allocator<int>::allocator(std::allocator<int> const&) [112]
-----------------------------------------------
                0.00    0.00    2838/5676        std::vector<int, std::allocator<int> >::begin() const [151]
                0.00    0.00    2838/5676        std::vector<int, std::allocator<int> >::end() const [150]
[122]    0.0    0.00    0.00    5676         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [122]
-----------------------------------------------
                0.00    0.00    5676/5676        int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [125]
[123]    0.0    0.00    0.00    5676         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [123]
-----------------------------------------------
                0.00    0.00    5676/5676        int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [158]
[124]    0.0    0.00    0.00    5676         __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [124]
-----------------------------------------------
                0.00    0.00    5676/5676        int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [155]
[125]    0.0    0.00    0.00    5676         int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [125]
                0.00    0.00    5676/5676        __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const [123]
-----------------------------------------------
                0.00    0.00    5654/5654        bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [159]
[126]    0.0    0.00    0.00    5654         __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const [126]
-----------------------------------------------
                0.00    0.00    2091/4975        stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int) [236]
                0.00    0.00    2884/4975        stbi__zhuffman_decode_slowpath(stbi__zbuf*, stbi__zhuffman*) [146]
[127]    0.0    0.00    0.00    4975         stbi__bit_reverse(int, int) [127]
                0.00    0.00    4975/4975        stbi__bitreverse16(int) [128]
-----------------------------------------------
                0.00    0.00    4975/4975        stbi__bit_reverse(int, int) [127]
[128]    0.0    0.00    0.00    4975         stbi__bitreverse16(int) [128]
-----------------------------------------------
                0.00    0.00       2/4391        int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&) [393]
                0.00    0.00      15/4391        int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*) [340]
                0.00    0.00    1536/4391        int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*) [185]
                0.00    0.00    2838/4391        int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [155]
[129]    0.0    0.00    0.00    4391         int* std::__niter_base<int*>(int*) [129]
-----------------------------------------------
                0.00    0.00       5/4386        std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&) [334]
                0.00    0.00    4381/4386        __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) [133]
[130]    0.0    0.00    0.00    4386         __gnu_cxx::new_allocator<int>::max_size() const [130]
-----------------------------------------------
                0.00    0.00       5/4384        std::vector<int, std::allocator<int> >::max_size() const [328]
                0.00    0.00    1541/4384        std::_Vector_base<int, std::allocator<int> >::get_allocator() const [170]
                0.00    0.00    2838/4384        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
[131]    0.0    0.00    0.00    4384         std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [131]
-----------------------------------------------
                0.00    0.00    4381/4381        std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long) [135]
[132]    0.0    0.00    0.00    4381         __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long) [132]
-----------------------------------------------
                0.00    0.00    4381/4381        std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long) [136]
[133]    0.0    0.00    0.00    4381         __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) [133]
                0.00    0.00    4381/4386        __gnu_cxx::new_allocator<int>::max_size() const [130]
-----------------------------------------------
                0.00    0.00       5/4381        int* std::vector<int, std::allocator<int> >::_M_allocate_and_copy<std::move_iterator<int*> >(unsigned long, std::move_iterator<int*>, std::move_iterator<int*>) [337]
                0.00    0.00    1536/4381        void std::vector<int, std::allocator<int> >::_M_range_initialize<int const*>(int const*, int const*, std::forward_iterator_tag) [182]
                0.00    0.00    2840/4381        std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [147]
[134]    0.0    0.00    0.00    4381         std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [134]
                0.00    0.00    4381/4381        std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long) [136]
-----------------------------------------------
                0.00    0.00    4381/4381        std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [116]
[135]    0.0    0.00    0.00    4381         std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long) [135]
                0.00    0.00    4381/4381        __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long) [132]
-----------------------------------------------
                0.00    0.00    4381/4381        std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [134]
[136]    0.0    0.00    0.00    4381         std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long) [136]
                0.00    0.00    4381/4381        __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) [133]
-----------------------------------------------
                0.00    0.00    4374/4374        int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*) [138]
[137]    0.0    0.00    0.00    4374         int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [137]
-----------------------------------------------
                0.00    0.00    1536/4374        int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*) [185]
                0.00    0.00    2838/4374        int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [155]
[138]    0.0    0.00    0.00    4374         int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*) [138]
                0.00    0.00    4374/4374        int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [137]
-----------------------------------------------
                0.00    0.00    3082/3082        std::vector<int, std::allocator<int> >::_M_move_assign(std::vector<int, std::allocator<int> >&&, std::integral_constant<bool, true>) [23]
[139]    0.0    0.00    0.00    3082         std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&) [139]
                0.00    0.00    9246/9246        std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&) [113]
-----------------------------------------------
                0.00    0.00    3079/3079        std::allocator<int>::allocator() [141]
[140]    0.0    0.00    0.00    3079         __gnu_cxx::new_allocator<int>::new_allocator() [140]
-----------------------------------------------
                0.00    0.00       2/3079        main [1]
                0.00    0.00     256/3079        select_random(std::vector<int, std::allocator<int> >, int, int) [22]
                0.00    0.00    1280/3079        tag_pixels(int, int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >) [5]
                0.00    0.00    1541/3079        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl() [171]
[141]    0.0    0.00    0.00    3079         std::allocator<int>::allocator() [141]
                0.00    0.00    3079/3079        __gnu_cxx::new_allocator<int>::new_allocator() [140]
-----------------------------------------------
                0.00    0.00    1536/3077        std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&) [13]
                0.00    0.00    1541/3077        std::vector<int, std::allocator<int> >::vector(std::allocator<int> const&) [173]
[142]    0.0    0.00    0.00    3077         std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&) [142]
                0.00    0.00    3077/5917        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [121]
-----------------------------------------------
                0.00    0.00    1536/3072        std::initializer_list<int>::end() const [179]
                0.00    0.00    1536/3072        std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&) [13]
[143]    0.0    0.00    0.00    3072         std::initializer_list<int>::begin() const [143]
-----------------------------------------------
                0.00    0.00    3072/3072        int* std::copy<int const*, int*>(int const*, int const*, int*) [189]
[144]    0.0    0.00    0.00    3072         int const* std::__miter_base<int const*>(int const*) [144]
-----------------------------------------------
                0.00    0.00    3072/3072        int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*) [185]
[145]    0.0    0.00    0.00    3072         int const* std::__niter_base<int const*>(int const*) [145]
-----------------------------------------------
                0.00    0.00    2884/2884        stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*) [102]
[146]    0.0    0.00    0.00    2884         stbi__zhuffman_decode_slowpath(stbi__zbuf*, stbi__zhuffman*) [146]
                0.00    0.00    2884/4975        stbi__bit_reverse(int, int) [127]
-----------------------------------------------
                0.00    0.00    2840/2840        std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [148]
[147]    0.0    0.00    0.00    2840         std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [147]
                0.00    0.00    2840/4381        std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [134]
-----------------------------------------------
                0.00    0.00       1/2840        std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&) [462]
                0.00    0.00       1/2840        std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&) [461]
                0.00    0.00    2838/2840        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
[148]    0.0    0.00    0.00    2840         std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [148]
                0.00    0.00    2840/5917        std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [121]
                0.00    0.00    2840/2840        std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) [147]
-----------------------------------------------
                0.00    0.00    2838/2838        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
[149]    0.0    0.00    0.00    2838         __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&) [149]
                0.00    0.00    2838/2838        std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&) [152]
-----------------------------------------------
                0.00    0.00    2838/2838        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
[150]    0.0    0.00    0.00    2838         std::vector<int, std::allocator<int> >::end() const [150]
                0.00    0.00    2838/5676        __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [122]
-----------------------------------------------
                0.00    0.00    2838/2838        std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [154]
[151]    0.0    0.00    0.00    2838         std::vector<int, std::allocator<int> >::begin() const [151]
                0.00    0.00    2838/5676        __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) [122]
-----------------------------------------------
                0.00    0.00    2838/2838        __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&) [149]
[152]    0.0    0.00    0.00    2838         std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&) [152]
                0.00    0.00    2838/10296       std::allocator<int>::allocator(std::allocator<int> const&) [112]
-----------------------------------------------
                0.00    0.00    2838/2838        int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [156]
